variable,coefficient,std_err,t_value,p_value
is_optout,-0.9920629503175835,0.21481952838658674,-4.618122745955752,3.872271885031156e-06
price_eur,-0.004146127309459175,0.0015643512299492988,-2.650381340252823,0.008040096438762872
comfort_2.0,0.16366196154252785,0.1122866047903574,1.4575377165254024,0.14496800802900686
comfort_4.0,0.32564037836859966,0.11590207136677314,2.8096165541175515,0.0049600555671896794
att_complete,0.4033074212390354,0.08216428975303912,4.908548743636134,9.175282612050684e-07
speech_moderate,-0.17380729184638136,0.1182669366350504,-1.46961861693195,0.14166507525240762
speech_more_effort,-0.14367313586215236,0.13909028536279455,-1.0329487461141098,0.30162788493945125
app_visible,0.1084487898374323,0.06427620059688993,1.6872308697518081,0.09155896777714981
